"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"2011-09-26T17:19:31"	"1317057571"	"Genie 2.0"	"02829251-14ee-499c-a21b-11940bd16186"	"Christina Aguilera"	"b202beb7-99bd-47e7-8b72-195c8d72ebdd"	"Genie 2.0"	"02829251-14ee-499c-a21b-11940bd16186"	"Christina Aguilera"	"b202beb7-99bd-47e7-8b72-195c8d72ebdd"	"Keeps Gettin' Better: A Decade of Hits"	"b6fcb035-1144-4283-9ed7-016ff4145702"	"Christina Aguilera"	"b202beb7-99bd-47e7-8b72-195c8d72ebdd"
"2011-09-28T16:29:38"	"1317227378"	"Mount Kailash"	"4f62d6e7-8ab1-41a4-adb0-536f4435cd81"	"Karunesh"	"bf35e4fb-d6d9-42aa-a60e-822960444c6e"	"Mount Kailash"	"4f62d6e7-8ab1-41a4-adb0-536f4435cd81"	"Karunesh"	"bf35e4fb-d6d9-42aa-a60e-822960444c6e"	"Call of the Mystic"	"30f7f74c-b36e-4142-84cc-c6180ea7221a"	"Karunesh"	"bf35e4fb-d6d9-42aa-a60e-822960444c6e"
"2011-10-01T11:09:56"	"1317467396"	"Asma Asmaton"	""	"Vangelis & Irene Papas"	""	"Asma Asmaton"	""	"Vangelis & Irene Papas"	""	"Rapsodies"	""	"Vangelis & Irene Papas"	""
"2011-10-03T17:23:20"	"1317662600"	"Atacama"	"2f55cee5-b554-4e2b-a369-d1633605513c"	"Medwyn Goodall"	"03ef9bd5-698c-4366-8a03-1c49d778b79c"	"Atacama"	"2f55cee5-b554-4e2b-a369-d1633605513c"	"Medwyn Goodall"	"03ef9bd5-698c-4366-8a03-1c49d778b79c"	"Ancient Nazca - Inca Mysteries"	"d4d8f4fa-2133-453e-b020-61bc6e2c66e0"	"Medwyn Goodall"	"03ef9bd5-698c-4366-8a03-1c49d778b79c"
"2011-10-10T15:51:54"	"1318261914"	"In Between"	"e834bb19-4374-4e45-9d74-8fb1af79184f"	"Kirsty Hawkshaw"	"1fb15a78-f73c-4583-8090-ea5e6cfd7e16"	"In Between"	"e834bb19-4374-4e45-9d74-8fb1af79184f"	"Kirsty Hawkshaw"	"1fb15a78-f73c-4583-8090-ea5e6cfd7e16"	"The Ice Castle"	"6f2e62ec-2a32-4b97-86ee-e77450847705"	"Kirsty Hawkshaw"	"1fb15a78-f73c-4583-8090-ea5e6cfd7e16"
"2011-10-11T15:37:10"	"1318347430"	"Dark Cloud La Saia's Resting Place OC ReMix"	""	"Dev"	"1639aba1-d328-47be-afaa-d009b2939d7e"	"Dark Cloud La Saia's Resting Place OC ReMix"	""	"Dev"	"1639aba1-d328-47be-afaa-d009b2939d7e"	"www.ocremix.org - OCR00840-OCR00859"	""	"Various Artists"	"023671ff-b1ad-4133-a4f3-aadaaadfd2e0"
"2011-10-21T10:40:34"	"1319193634"	"Kill 'em all"	""	"Chuck"	"02aeb7e7-cafe-4c09-91a6-8db34ea6b0cd"	"Kill 'em all"	""	"Chuck"	"02aeb7e7-cafe-4c09-91a6-8db34ea6b0cd"	"Wrath SuperSevens Series 2"	""	"Various Artists"	"023671ff-b1ad-4133-a4f3-aadaaadfd2e0"
"2011-10-31T15:45:30"	"1320075930"	"Shower the People"	"d90b8378-0295-4df9-a8eb-9ee9be7902fb"	"James Taylor"	"0217fabf-0e84-4c36-b197-f1b6e1263506"	"Shower the People"	"d90b8378-0295-4df9-a8eb-9ee9be7902fb"	"James Taylor"	"0217fabf-0e84-4c36-b197-f1b6e1263506"	"The Best of James Taylor"	"40223820-699e-4795-9e26-38c1ba1981e1"	"James Taylor"	"0217fabf-0e84-4c36-b197-f1b6e1263506"
"2011-11-03T16:34:47"	"1320338087"	"Hunter"	"af17042d-be2a-4515-a8c7-205c6602b63c"	"Björk"	"87c5dedd-371d-4a53-9f7f-80522fb7f3cb"	"Hunter"	"af17042d-be2a-4515-a8c7-205c6602b63c"	"Björk"	"87c5dedd-371d-4a53-9f7f-80522fb7f3cb"	"Homogenic"	"cfbb2f15-835b-4bee-abc1-df30d7e3a381"	"Björk"	"87c5dedd-371d-4a53-9f7f-80522fb7f3cb"
"2011-11-05T16:12:53"	"1320509573"	"Stay This Way"	"4d3131c9-588b-4e95-a7e1-d62f1a5d83be"	"Peter Bjorn and John"	"32a83250-7e26-422d-b9ac-f4564343e9ce"	"Stay This Way"	"4d3131c9-588b-4e95-a7e1-d62f1a5d83be"	"Peter Bjorn and John"	"32a83250-7e26-422d-b9ac-f4564343e9ce"	"Living Thing"	"11e66e7a-da40-3551-8d7f-7ff8c53add50"	"Peter Bjorn and John"	"32a83250-7e26-422d-b9ac-f4564343e9ce"
