"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2012-04-13T12:58:48"	"1334321928"	"Should've Known"	""	"E-Rotic"	"a0e1f00c-9bdc-4f4d-8df7-43f042cdf68e"	"Should've Known"	""	"E-Rotic"	"a0e1f00c-9bdc-4f4d-8df7-43f042cdf68e"
"2012-04-13T12:59:19"	"1334321959"	"You Make Me Cry"	""	"Nabra Lansh"	""	"You Make Me Cry"	""	"Nabra Lansh"	""
"2012-04-20T14:12:44"	"1334931164"	"Rocket Radio"	"5634ebdc-0585-4992-8f27-6ac6c80a9416"	"Sportfreunde Stiller"	"35581de7-591f-424f-9c64-7b22fd45605e"	"Rocket Radio"	"5634ebdc-0585-4992-8f27-6ac6c80a9416"	"Sportfreunde Stiller"	"35581de7-591f-424f-9c64-7b22fd45605e"
"2012-04-20T14:12:49"	"1334931169"	"Wie weit ist vorbei"	"9284a28b-c530-4ef2-a45a-d62d02d442a6"	"Rosenstolz"	"c1b620ee-6540-42ba-90df-f0740d42cbbf"	"Wie weit ist vorbei"	"9284a28b-c530-4ef2-a45a-d62d02d442a6"	"Rosenstolz"	"c1b620ee-6540-42ba-90df-f0740d42cbbf"
"2012-04-20T14:20:22"	"1334931622"	"Offene Wunden"	"68bede47-d198-46a8-aa13-815ad7253950"	"Klee"	"ed46f02c-0801-40f1-872c-5259ce334476"	"Offene Wunden"	"68bede47-d198-46a8-aa13-815ad7253950"	"Klee"	"ed46f02c-0801-40f1-872c-5259ce334476"
"2012-04-20T14:20:43"	"1334931643"	"Kleine Zwischenfälle"	"46dd3a57-74b2-4fba-9f4f-2109ed86ca10"	"Annett Louisan"	"0a172f7d-b3b1-40bf-833d-192892e04b5a"	"Kleine Zwischenfälle"	"46dd3a57-74b2-4fba-9f4f-2109ed86ca10"	"Annett Louisan"	"0a172f7d-b3b1-40bf-833d-192892e04b5a"
"2012-04-20T15:04:51"	"1334934291"	"Vielleicht"	""	"Christina Stürmer"	"d7916dc0-1f58-4a41-968d-d5692e2e492e"	"Vielleicht"	""	"Christina Stürmer"	"d7916dc0-1f58-4a41-968d-d5692e2e492e"
"2012-08-04T08:27:21"	"1344068841"	"Miasta Wdzięk"	"1ac6b32f-3758-4d85-876f-81e0dfbf2248"	"Junior Stress"	"a42ecdc0-9b3c-4fa8-9b00-37647b3a97d6"	"Miasta Wdzięk"	"1ac6b32f-3758-4d85-876f-81e0dfbf2248"	"Junior Stress"	"a42ecdc0-9b3c-4fa8-9b00-37647b3a97d6"
"2012-08-04T08:45:27"	"1344069927"	"Cichosza"	"e2f97c97-82ad-4df7-867b-4f7b8c37a803"	"Grzegorz Turnau"	"a855f632-8bba-4c58-bb91-d9d304955096"	"Cichosza"	"e2f97c97-82ad-4df7-867b-4f7b8c37a803"	"Grzegorz Turnau"	"a855f632-8bba-4c58-bb91-d9d304955096"
"2012-08-04T08:45:32"	"1344069932"	"Czarna Inez"	"50aadd2e-64f0-40a1-a577-c9bd1df0bdca"	"Raz, Dwa, Trzy"	"c27f8fae-e697-4959-a791-babfd0a4ecbf"	"Czarna Inez"	"50aadd2e-64f0-40a1-a577-c9bd1df0bdca"	"Raz, Dwa, Trzy"	"c27f8fae-e697-4959-a791-babfd0a4ecbf"
"2012-09-02T16:11:14"	"1346602274"	"Come 2 Me"	""	"Cheryl"	"85df56ab-e125-4169-8ac8-e6666128d526"	"Come 2 Me"	""	"Cheryl"	"85df56ab-e125-4169-8ac8-e6666128d526"
"2012-11-16T11:08:56"	"1353064136"	"Heartbeat"	"8ca7a78d-2b6f-45ad-8f1f-7fb1810069d0"	"Nick Berry"	"d86c2ab9-fd34-443f-897f-707393178d8e"	"Heartbeat"	"8ca7a78d-2b6f-45ad-8f1f-7fb1810069d0"	"Nick Berry"	"d86c2ab9-fd34-443f-897f-707393178d8e"
"2012-11-23T18:01:49"	"1353693709"	"Don't Worry Be Happy"	"15b74125-3c54-472f-b36b-697bc7596fec"	"Bobby McFerrin"	"a996b5bd-db99-4257-b036-336f63448aa2"	"Don't Worry Be Happy"	"15b74125-3c54-472f-b36b-697bc7596fec"	"Bobby McFerrin"	"a996b5bd-db99-4257-b036-336f63448aa2"
"2012-12-12T21:06:26"	"1355346386"	"Intro"	"c19df591-d1a0-4a5a-b349-37dedbe0828f"	"Pharao"	"c5997b31-3652-446f-aedd-d69dea03ee3c"	"Intro"	"c19df591-d1a0-4a5a-b349-37dedbe0828f"	"Pharao"	"c5997b31-3652-446f-aedd-d69dea03ee3c"
